City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
283,Mahajanga,MG,-15.7167,46.3167,75.22,69,0,6.91,clear sky
284,Faya,SA,18.3851,42.4509,66.31,60,16,5.93,few clouds
285,Strezhevoy,RU,60.7333,77.5889,27.82,78,47,4.23,scattered clouds
286,Bambous Virieux,MU,-20.3428,57.7575,70.21,83,75,6.91,broken clouds
287,Kovdor,RU,67.5662,30.4758,34.3,97,100,4.83,light snow
288,Acapulco,MX,16.8634,-99.8901,85.82,74,75,6.91,broken clouds
289,Broome,US,42.2506,-75.833,65.28,57,20,8.05,few clouds
290,Vostok,RU,46.4856,135.8833,39.58,96,10,3.4,clear sky
291,San Lawrenz,MT,36.0553,14.204,75.85,79,56,5.01,broken clouds
292,Baghdad,IQ,33.3406,44.4009,80.51,24,0,2.3,clear sky
293,Beisfjord,NO,68.3751,17.5988,42.85,72,2,7.25,clear sky
294,Bandar-E Anzali,IR,37.4727,49.4622,69.91,64,0,6.4,clear sky
295,San Patricio,US,28.017,-97.5169,85.95,33,0,9.66,clear sky
296,Sao Felix Do Xingu,BR,-6.6447,-51.995,95.95,31,64,7.9,broken clouds
297,Calabozo,VE,8.9242,-67.4293,89.19,55,21,4.61,few clouds
298,Vila Do Maio,CV,15.1333,-23.2167,84.99,78,100,11.61,overcast clouds
299,Chimore,BO,-16.9833,-65.1333,92.05,30,18,1.92,few clouds
300,Dubbo,AU,-32.25,148.6167,50.13,81,75,10.36,broken clouds
301,Olafsvik,IS,64.8945,-23.7142,47.71,89,100,15.59,overcast clouds
302,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,86.04,23,0,5.61,clear sky
303,Formosa Do Rio Preto,BR,-11.0483,-45.1931,97.68,18,8,8.68,clear sky
304,Zhigansk,RU,66.7697,123.3711,25.92,84,100,2.1,overcast clouds
305,Vangaindrano,MG,-23.35,47.6,68.59,80,5,6.04,clear sky
306,Sobolevo,RU,54.4299,31.8996,49.44,91,97,13.94,overcast clouds
307,El Cobre,CU,20.0489,-75.9469,80.04,83,40,5.75,scattered clouds
308,Havoysund,NO,70.9963,24.6622,43.03,66,63,10.16,broken clouds
309,Chaumont,FR,48.1167,5.1333,60.37,89,84,9.55,broken clouds
310,Ozernovskiy,RU,51.5,156.5167,44.91,78,100,7.49,overcast clouds
311,Vinzili,RU,56.9594,65.7708,34.11,77,22,6.15,few clouds
312,Pisco,PE,-13.7,-76.2167,67.01,63,0,9.22,clear sky
313,Tual,ID,-5.6667,132.75,82.22,77,56,6.2,broken clouds
314,Barao De Melgaco,BR,-16.1944,-55.9675,97.7,33,44,4.18,scattered clouds
315,Ahuimanu,US,21.4447,-157.8378,76.75,83,20,4.61,few clouds
316,Marawi,PH,7.9986,124.2928,69.01,95,96,0.85,overcast clouds
317,Rafaela,AR,-31.2503,-61.4867,81.0,19,0,5.01,clear sky
318,Saint-Augustin,CA,51.226,-58.6502,51.87,34,30,15.64,scattered clouds
319,Iracoubo,GF,5.4802,-53.2011,85.62,68,60,11.56,broken clouds
